Date,APPLE,CAT,DOMINION,GOLDMANSACHS,GOOGLE,NATURAL_GAS,OIL,SPDR_GOLD,USD,Date
1/4/10 0:00,0.517433046,0.644598711,0.724236935,1.238414675,0.98397004,2.522783418,1.116422122,0.76295038,1.019321784,1/4/10
1/5/10 0:00,0.518328001,0.652315568,0.715322581,1.260318915,0.979636961,2.453642963,1.121462403,0.762255526,1.018877054,1/5/10
1/6/10 0:00,0.510074528,0.654365359,0.715974851,1.246891316,0.954941551,2.548078706,1.137843314,0.774832395,1.016208672,1/6/10
1/7/10 0:00,0.509129854,0.657018028,0.717061967,1.271271034,0.932710971,2.502547187,1.13112294,0.770037898,1.022879626,1/7/10
1/8/10 0:00,0.512510794,0.664373158,0.716844544,1.247266388,0.945145024,2.477251899,1.134903151,0.773859598,1.015763942,1/8/10
1/11/10 0:00,0.5079863,0.706092416,0.727280861,1.22753757,0.943716364,2.37269804,1.126502683,0.784143447,1.010427179,1/9/10
1/12/10 0:00,0.502218814,0.685232787,0.723584666,1.200832402,0.92702773,2.377757098,1.101301281,0.767744877,1.010427179,1/10/10
1/13/10 0:00,0.509303873,0.68631797,0.727715708,1.20975913,0.921705578,2.436779437,1.089120603,0.775040851,1.009537718,1/11/10
1/14/10 0:00,0.50634555,0.682459541,0.727063438,1.205858375,0.926038657,2.382816156,1.084080323,0.778445639,1.006869336,1/12/10
1/15/10 0:00,0.497893199,0.666422948,0.722062703,1.182153787,0.910574589,2.413170502,1.064759247,0.770315839,1.01265083,1/13/10
1/19/10 0:00,0.519919031,0.675466139,0.732933866,1.193931066,0.922537655,2.364266278,1.079460065,0.77490188,1.015763942,1/14/10
1/20/10 0:00,0.511914158,0.662443943,0.725758898,1.200607358,0.911218271,2.342343695,1.050898476,0.756974631,1.028216389,1/15/10
1/21/10 0:00,0.503064049,0.63025018,0.716192274,1.151097777,0.915253058,2.35920722,1.031577401,0.746065413,1.028216389,1/16/10
1/22/10 0:00,0.478104753,0.601432543,0.702712031,1.102788427,0.863491603,2.441838495,1.005115929,0.744675704,1.026437468,1/17/10
1/25/10 0:00,0.490982159,0.61119919,0.707712766,1.108939618,0.847776341,2.394620624,1.019396723,0.746829753,1.025103278,1/18/10
1/26/10 0:00,0.497918059,0.619157199,0.708147613,1.079608941,0.851575635,2.337284637,1.009736186,0.747385637,1.02955058,1/19/10
1/27/10 0:00,0.502591712,0.592389351,0.706408227,1.084034798,0.851073249,2.222612663,0.997975531,0.740228634,1.033108422,1/20/10
1/28/10 0:00,0.481833732,0.574905847,0.698798412,1.09686228,0.838811891,2.192258317,0.999655625,0.739881207,1.034887344,1/21/10
1/29/10 0:00,0.464357253,0.579126003,0.696189333,1.06415595,0.831982582,2.166963029,0.9866349,0.736267963,1.042892488,1/22/10
2/1/10 0:00,0.470820815,0.58684286,0.701624915,1.095662048,0.836818047,2.28669406,1.014776466,0.752874988,1.038445186,1/23/10
2/2/10 0:00,0.47353054,0.59359511,0.706190803,1.122967332,0.83383513,2.305243938,1.048378336,0.758294854,1.034887344,1/24/10
2/3/10 0:00,0.481684573,0.591786471,0.699668105,1.125067739,0.849063705,2.285007708,1.042918032,0.755306979,1.040668837,1/25/10
2/4/10 0:00,0.464332393,0.569841659,0.685100746,1.078183665,0.82702152,2.291753118,0.990835134,0.725219774,1.047339791,1/26/10
2/5/10 0:00,0.472585865,0.573700088,0.683143936,1.103088485,0.834102023,2.330539227,0.973614176,0.727373823,1.051787094,1/27/10
2/8/10 0:00,0.469329224,0.562968833,0.674229582,1.081184246,0.837524527,2.290066765,0.968153872,0.722926754,1.051342364,1/28/10
2/9/10 0:00,0.474350915,0.593353958,0.679665164,1.091086162,0.842187297,2.232730779,1.000495672,0.732446262,1.04467141,1/29/10
2/10/10 0:00,0.47174063,0.589133802,0.680317433,1.099262745,0.839063084,2.244535247,1.009736186,0.730431184,1.047784521,1/30/10
2/11/10 0:00,0.48034214,0.622412748,0.689014365,1.102263325,0.842124499,2.268144182,1.0189767,0.744397762,1.047339791,1/31/10
2/12/10 0:00,0.484468876,0.623015627,0.690318904,1.101438166,0.836975043,2.28669406,1.005535952,0.743772393,1.050897633,2/1/10
2/16/10 0:00,0.491777674,0.633144002,0.710756692,1.126267971,0.849817284,2.252967009,1.045438172,0.761699642,1.042003028,2/2/10
2/17/10 0:00,0.489714306,0.637364158,0.713365772,1.125217768,0.84496612,2.251280657,1.052158546,0.75912868,1.051787094,2/3/10
2/18/10 0:00,0.490634121,0.640860859,0.719671047,1.114265648,0.8528316,2.192258317,1.073999762,0.764201119,1.051787094,2/4/10
2/19/10 0:00,0.487576358,0.645683894,0.728150554,1.117491273,0.848969508,2.129863273,1.083240276,0.76065736,1.054900206,2/5/10
2/22/10 0:00,0.484568316,0.643272377,0.724889205,1.121317013,0.852172219,2.080959049,1.082400229,0.757877942,1.053121285,2/6/10
2/23/10 0:00,0.476439143,0.628079814,0.721627856,1.121241998,0.840036457,2.037113883,1.062239107,0.749678657,1.058902778,2/7/10
2/24/10 0:00,0.485140093,0.631455939,0.724671782,1.132869249,0.834384615,2.065781876,1.082400229,0.745995927,1.056679127,2/8/10
2/25/10 0:00,0.488396734,0.629526725,0.721193009,1.119366636,0.826472036,2.02868212,1.05635878,0.752597046,1.054455476,2/9/10
2/26/10 0:00,0.494711137,0.632420546,0.714670311,1.121241998,0.82705292,2.030368472,1.077359949,0.760379418,1.051342364,2/10/10
3/1/10 0:00,0.505276576,0.641343162,0.720323316,1.12259226,0.836299961,1.988209659,1.063919201,0.760379418,1.054900206,2/11/10
3/2/10 0:00,0.504953398,0.644598711,0.723802089,1.138420323,0.849440495,1.998327774,1.076519902,0.771427607,1.051787094,2/12/10
3/3/10 0:00,0.506096951,0.649301171,0.726193745,1.1310689,0.856128508,2.006759537,1.093320837,0.77566622,1.04556087,2/13/10
3/4/10 0:00,0.509453032,0.647974836,0.728802824,1.173302074,0.870682002,1.934246377,1.086180439,0.770107383,1.051342364,2/14/10
3/5/10 0:00,0.529365777,0.656535725,0.735542946,1.198882024,0.88578498,1.934246377,1.105081491,0.769968412,1.050897633,2/15/10
3/8/10 0:00,0.529688955,0.653039024,0.735108099,1.218010727,0.883068956,1.912323794,1.105081491,0.763506264,1.050452903,2/16/10
3/9/10 0:00,0.53921028,0.656053421,0.737717179,1.210884347,0.879473757,1.897146621,1.097941094,0.762394497,1.052231824,2/17/10
3/10/10 0:00,0.543610474,0.651592113,0.740761104,1.23301363,0.905001244,1.93593273,1.106341561,0.753708814,1.050452903,2/18/10
3/11/10 0:00,0.545201505,0.652918448,0.74576184,1.244340822,0.912364339,1.875224038,1.110541795,0.754612125,1.048229252,2/19/10
3/12/10 0:00,0.54786151,0.669075617,0.746631533,1.254692826,0.909852409,1.848242397,1.095840977,0.75009557,1.041558298,2/20/10
3/15/10 0:00,0.541199068,0.659188394,0.746848956,1.244415837,0.884167926,1.858360512,1.078199995,0.752944474,1.047339791,2/21/10
3/16/10 0:00,0.5426658,0.659067818,0.750327729,1.263544539,0.887339237,1.833065224,1.103401398,0.767119508,1.039779377,2/22/10
3/17/10 0:00,0.541870284,0.667508131,0.762938279,1.266770163,0.887904421,1.807769936,1.116422122,0.761491186,1.040224107,2/23/10
3/18/10 0:00,0.543138137,0.662564519,0.762068586,1.272546281,0.889223185,1.71839325,1.108021655,0.766702595,1.047339791,2/24/10
3/19/10 0:00,0.53734579,0.658103211,0.765547358,1.275771905,0.879175465,1.745374891,1.08744051,0.75238859,1.054455476,2/25/10
3/22/10 0:00,0.543386736,0.664614309,0.754893617,1.263319495,0.875250574,1.713334193,1.097101047,0.748705861,1.051787094,2/26/10
3/23/10 0:00,0.552112545,0.691864461,0.755980734,1.253792652,0.861905947,1.736943128,1.102141328,0.752666532,1.055344936,2/27/10
3/24/10 0:00,0.554548811,0.688006032,0.753806501,1.250792071,0.874983682,1.708275135,1.080300112,0.738630468,1.069576305,2/28/10
3/25/10 0:00,0.547985809,0.688850063,0.757285273,1.254242739,0.883696939,1.657684558,1.079460065,0.741965771,1.073134147,3/1/10
3/26/10 0:00,0.558252929,0.692105612,0.763590548,1.239689922,0.883398647,1.62564386,1.076099878,0.754542639,1.065573732,3/2/10
3/29/10 0:00,0.561857609,0.703680898,0.774679136,1.248166563,0.883021858,1.615525745,1.108861701,0.755654407,1.060236969,3/3/10
